
z80 mnemonics listed in opcode order.

if you notice any errors or something is missing, please
send me email to vhelin@cc.hut.fi.


x = 8bit
? = 16bit
s = 8bit 2's complement ([-128, +127])



$00 "NOP"
$fd39 "ADD IY,SP"
$fd44 "LD B,IYH"
$fd45 "LD B,IYL"
$fd46 "LD B,(IYs)"
$fd4c "LD C,IYH"
$fd4d "LD C,IYL"
$fd4e "LD C,(IYs)"
$fd54 "LD D,IYH"
$fd55 "LD D,IYL"
$fd56 "LD D,(IYs)"
$fd5c "LD E,IYH"
$fd5d "LD E,IYL"
$fd5e "LD E,(IYs)"
$fd60 "LD IYH,B"
$fd61 "LD IYH,C"
$fd62 "LD IYH,D"
$fd63 "LD IYH,E"
$fd64 "LD IYH,IYH"
$fd65 "LD IYH,IYL"
$fd66 "LD H,(IYs)"
$fd67 "LD IYH,A"
$fd68 "LD IYL,B"
$fd69 "LD IYL,C"
$fd6a "LD IYL,D"
$fd6b "LD IYL,E"
$fd6c "LD IYL,IYH"
$fd6d "LD IYL,IYL"
$fd6e "LD L,(IYs)"
$fd6f "LD IYL,A"
$fd70 "LD (IYs),B"
$fd71 "LD (IYs),C"
$fd72 "LD (IYs),D"
$fd73 "LD (IYs),E"
$fd74 "LD (IYs),H"
$fd75 "LD (IYs),L"
$fd77 "LD (IYs),A"
$fd7c "LD A,IYH"
$fd7d "LD A,IYL"
$fd7e "LD A,(IYs)"
$fd84 "ADD A,IYH"
$fd85 "ADD A,IYL"
$fd86 "ADD A,(IYs)"
$fd8c "ADC A,IYH"
$fd8d "ADC A,IYL"
$fd8e "ADC A,(IYs)"
$fd94 "SUB IYH"
$fd95 "SUB IYL"
$fd96 "SUB (IYs)"
$fd9c "SBC A,IYH"
$fd9d "SBC A,IYL"
$fd9e "SBC A,(IYs)"
$fda4 "AND IYH"
$fda5 "AND IYL"
$fda6 "AND (IYs)"
$fdac "XOR IYH"
$fdad "XOR IYL"
$fdae "XOR (IYs)"
$fdb4 "OR IYH"
$fdb5 "OR IYL"
$fdb6 "OR (IYs)"
$fdbc "CP IYH"
$fdbd "CP IYL"
$fdbe "CP (IYs)"
$fdcb x $00 "LD B,RLC (IYs)"
$fdcb x $01 "LD C,RLC (IYs)"
$fdcb x $02 "LD D,RLC (IYs)"
$fdcb x $03 "LD E,RLC (IYs)"
$fdcb x $04 "LD H,RLC (IYs)"
$fdcb x $05 "LD L,RLC (IYs)"
$fdcb x $06 "RLC (IYs)"
$fdcb x $07 "LD A,RLC (IYs)"
$fdcb x $08 "LD B,RRC (IYs)"
$fdcb x $09 "LD C,RRC (IYs)"
$fdcb x $0a "LD D,RRC (IYs)"
$fdcb x $0b "LD E,RRC (IYs)"
$fdcb x $0c "LD H,RRC (IYs)"
$fdcb x $0d "LD L,RRC (IYs)"
$fdcb x $0e "RRC (IYs)"
$fdcb x $0f "LD A,RRC (IYs)"
$fdcb x $10 "LD B,RL (IYs)"
$fdcb x $11 "LD C,RL (IYs)"
$fdcb x $12 "LD D,RL (IYs)"
$fdcb x $13 "LD E,RL (IYs)"
$fdcb x $14 "LD H,RL (IYs)"
$fdcb x $15 "LD L,RL (IYs)"
$fdcb x $16 "RL (IYs)"
$fdcb x $17 "LD A,RL (IYs)"
$fdcb x $18 "LD B,RR (IYs)"
$fdcb x $19 "LD C,RR (IYs)"
$fdcb x $1a "LD D,RR (IYs)"
$fdcb x $1b "LD E,RR (IYs)"
$fdcb x $1c "LD H,RR (IYs)"
$fdcb x $1d "LD L,RR (IYs)"
$fdcb x $1e "RR (IYs)"
$fdcb x $1f "LD A,RR (IYs)"
$fdcb x $20 "LD B,SLA (IYs)"
$fdcb x $21 "LD C,SLA (IYs)"
$fdcb x $22 "LD D,SLA (IYs)"
$fdcb x $23 "LD E,SLA (IYs)"
$fdcb x $24 "LD H,SLA (IYs)"
$fdcb x $25 "LD L,SLA (IYs)"
$fdcb x $26 "SLA (IYs)"
$fdcb x $27 "LD A,SLA (IYs)"
$fdcb x $28 "LD B,SRA (IYs)"
$fdcb x $29 "LD C,SRA (IYs)"
$fdcb x $2a "LD D,SRA (IYs)"
$fdcb x $2b "LD E,SRA (IYs)"
$fdcb x $2c "LD H,SRA (IYs)"
$fdcb x $2d "LD L,SRA (IYs)"
$fdcb x $2e "SRA (IYs)"
$fdcb x $2f "LD A,SRA (IYs)"
$fdcb x $30 "LD B,SLL (IYs)"
$fdcb x $31 "LD C,SLL (IYs)"
$fdcb x $32 "LD D,SLL (IYs)"
$fdcb x $33 "LD E,SLL (IYs)"
$fdcb x $34 "LD H,SLL (IYs)"
$fdcb x $35 "LD L,SLL (IYs)"
$fdcb x $36 "SLL (IYs)"
$fdcb x $37 "LD A,SLL (IYs)"
$fdcb x $38 "LD B,SRL (IYs)"
$fdcb x $39 "LD C,SRL (IYs)"
$fdcb x $3a "LD D,SRL (IYs)"
$fdcb x $3b "LD E,SRL (IYs)"
$fdcb x $3c "LD H,SRL (IYs)"
$fdcb x $3d "LD L,SRL (IYs)"
$fdcb x $3e "SRL (IYs)"
$fdcb x $3f "LD A,SRL (IYs)"
$fdcb x $46 "BIT 0,(IYs)"
$fdcb x $4e "BIT 1,(IYs)"
$fdcb x $56 "BIT 2,(IYs)"
$fdcb x $5e "BIT 3,(IYs)"
$fdcb x $66 "BIT 4,(IYs)"
$fdcb x $6e "BIT 5,(IYs)"
$fdcb x $76 "BIT 6,(IYs)"
$fdcb x $7e "BIT 7,(IYs)"
$fdcb x $80 "LD B,RES 0,(IYs)"
$fdcb x $81 "LD C,RES 0,(IYs)"
$fdcb x $82 "LD D,RES 0,(IYs)"
$fdcb x $83 "LD E,RES 0,(IYs)"
$fdcb x $84 "LD H,RES 0,(IYs)"
$fdcb x $85 "LD L,RES 0,(IYs)"
$fdcb x $86 "RES 0,(IYs)"
$fdcb x $87 "LD A,RES 0,(IYs)"
$fdcb x $88 "LD B,RES 1,(IYs)"
$fdcb x $89 "LD C,RES 1,(IYs)"
$fdcb x $8a "LD D,RES 1,(IYs)"
$fdcb x $8b "LD E,RES 1,(IYs)"
$fdcb x $8c "LD H,RES 1,(IYs)"
$fdcb x $8d "LD L,RES 1,(IYs)"
$fdcb x $8e "RES 1,(IYs)"
$fdcb x $8f "LD A,RES 1,(IYs)"
$fdcb x $90 "LD B,RES 2,(IYs)"
$fdcb x $91 "LD C,RES 2,(IYs)"
$fdcb x $92 "LD D,RES 2,(IYs)"
$fdcb x $93 "LD E,RES 2,(IYs)"
$fdcb x $94 "LD H,RES 2,(IYs)"
$fdcb x $95 "LD L,RES 2,(IYs)"
$fdcb x $96 "RES 2,(IYs)"
$fdcb x $97 "LD A,RES 2,(IYs)"
$fdcb x $98 "LD B,RES 3,(IYs)"
$fdcb x $99 "LD C,RES 3,(IYs)"
$fdcb x $9a "LD D,RES 3,(IYs)"
$fdcb x $9b "LD E,RES 3,(IYs)"
$fdcb x $9c "LD H,RES 3,(IYs)"
$fdcb x $9d "LD L,RES 3,(IYs)"
$fdcb x $9e "RES 3,(IYs)"
$fdcb x $9f "LD A,RES 3,(IYs)"
$fdcb x $a0 "LD B,RES 4,(IYs)"
$fdcb x $a1 "LD C,RES 4,(IYs)"
$fdcb x $a2 "LD D,RES 4,(IYs)"
$fdcb x $a3 "LD E,RES 4,(IYs)"
$fdcb x $a4 "LD H,RES 4,(IYs)"
$fdcb x $a5 "LD L,RES 4,(IYs)"
$fdcb x $a6 "RES 4,(IYs)"
$fdcb x $a7 "LD A,RES 4,(IYs)"
$fdcb x $a8 "LD B,RES 5,(IYs)"
$fdcb x $a9 "LD C,RES 5,(IYs)"
$fdcb x $aa "LD D,RES 5,(IYs)"
$fdcb x $ab "LD E,RES 5,(IYs)"
$fdcb x $ac "LD H,RES 5,(IYs)"
$fdcb x $ad "LD L,RES 5,(IYs)"
$fdcb x $ae "RES 5,(IYs)"
$fdcb x $af "LD A,RES 5,(IYs)"
$fdcb x $b0 "LD B,RES 6,(IYs)"
$fdcb x $b1 "LD C,RES 6,(IYs)"
$fdcb x $b2 "LD D,RES 6,(IYs)"
$fdcb x $b3 "LD E,RES 6,(IYs)"
$fdcb x $b4 "LD H,RES 6,(IYs)"
$fdcb x $b5 "LD L,RES 6,(IYs)"
$fdcb x $b6 "RES 6,(IYs)"
$fdcb x $b7 "LD A,RES 6,(IYs)"
$fdcb x $b8 "LD B,RES 7,(IYs)"
$fdcb x $b9 "LD C,RES 7,(IYs)"
$fdcb x $ba "LD D,RES 7,(IYs)"
$fdcb x $bb "LD E,RES 7,(IYs)"
$fdcb x $bc "LD H,RES 7,(IYs)"
$fdcb x $bd "LD L,RES 7,(IYs)"
$fdcb x $be "RES 7,(IYs)"
$fdcb x $bf "LD A,RES 7,(IYs)"
$fdcb x $c0 "LD B,SET 0,(IYs)"
$fdcb x $c1 "LD C,SET 0,(IYs)"
$fdcb x $c2 "LD D,SET 0,(IYs)"
$fdcb x $c3 "LD E,SET 0,(IYs)"
$fdcb x $c4 "LD H,SET 0,(IYs)"
$fdcb x $c5 "LD L,SET 0,(IYs)"
$fdcb x $c6 "SET 0,(IYs)"
$fdcb x $c7 "LD A,SET 0,(IYs)"
$fdcb x $c8 "LD B,SET 1,(IYs)"
$fdcb x $c9 "LD C,SET 1,(IYs)"
$fdcb x $ca "LD D,SET 1,(IYs)"
$fdcb x $cb "LD E,SET 1,(IYs)"
$fdcb x $cc "LD H,SET 1,(IYs)"
$fdcb x $cd "LD L,SET 1,(IYs)"
$fdcb x $ce "SET 1,(IYs)"
$fdcb x $cf "LD A,SET 1,(IYs)"
$fdcb x $d0 "LD B,SET 2,(IYs)"
$fdcb x $d1 "LD C,SET 2,(IYs)"
$fdcb x $d2 "LD D,SET 2,(IYs)"
$fdcb x $d3 "LD E,SET 2,(IYs)"
$fdcb x $d4 "LD H,SET 2,(IYs)"
$fdcb x $d5 "LD L,SET 2,(IYs)"
$fdcb x $d6 "SET 2,(IYs)"
$fdcb x $d7 "LD A,SET 2,(IYs)"
$fdcb x $d8 "LD B,SET 3,(IYs)"
$fdcb x $d9 "LD C,SET 3,(IYs)"
$fdcb x $da "LD D,SET 3,(IYs)"
$fdcb x $db "LD E,SET 3,(IYs)"
$fdcb x $dc "LD H,SET 3,(IYs)"
$fdcb x $dd "LD L,SET 3,(IYs)"
$fdcb x $de "SET 3,(IYs)"
$fdcb x $df "LD A,SET 3,(IYs)"
$fdcb x $e0 "LD B,SET 4,(IYs)"
$fdcb x $e1 "LD C,SET 4,(IYs)"
$fdcb x $e2 "LD D,SET 4,(IYs)"
$fdcb x $e3 "LD E,SET 4,(IYs)"
$fdcb x $e4 "LD H,SET 4,(IYs)"
$fdcb x $e5 "LD L,SET 4,(IYs)"
$fdcb x $e6 "SET 4,(IYs)"
$fdcb x $e7 "LD A,SET 4,(IYs)"
$fdcb x $e8 "LD B,SET 5,(IYs)"
$fdcb x $e9 "LD C,SET 5,(IYs)"
$fdcb x $ea "LD D,SET 5,(IYs)"
$fdcb x $eb "LD E,SET 5,(IYs)"
$fdcb x $ec "LD H,SET 5,(IYs)"
$fdcb x $ed "LD L,SET 5,(IYs)"
$fdcb x $ee "SET 5,(IYs)"
$fdcb x $ef "LD A,SET 5,(IYs)"
$fdcb x $f0 "LD B,SET 6,(IYs)"
$fdcb x $f1 "LD C,SET 6,(IYs)"
$fdcb x $f2 "LD D,SET 6,(IYs)"
$fdcb x $f3 "LD E,SET 6,(IYs)"
$fdcb x $f4 "LD H,SET 6,(IYs)"
$fdcb x $f5 "LD L,SET 6,(IYs)"
$fdcb x $f6 "SET 6,(IYs)"
$fdcb x $f7 "LD A,SET 6,(IYs)"
$fdcb x $f8 "LD B,SET 7,(IYs)"
$fdcb x $f9 "LD C,SET 7,(IYs)"
$fdcb x $fa "LD D,SET 7,(IYs)"
$fdcb x $fb "LD E,SET 7,(IYs)"
$fdcb x $fc "LD H,SET 7,(IYs)"
$fdcb x $fd "LD L,SET 7,(IYs)"
$fdcb x $fe "SET 7,(IYs)"
$fdcb x $ff "LD A,SET 7,(IYs)"
$fde1 "POP IY"
$fde3 "EX (SP),IY"
$fde5 "PUSH IY"
$fde9 "JP (IY)"
$fdf9 "LD SP,IY"
$fe "CP x"
$ff "RST 56"
